top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    898 root      20   0   81944   3512   3172 S   0.0   0.0   0:00.18 irqbala+
    885 root      20   0  410508  20988  16864 S   0.0   0.1   0:01.65 Network+
    876 message+  20   0    9900   6600   4056 S   0.0   0.0   0:02.27 dbus-da+
    874 root      20   0   28568   9004   7260 S   0.0   0.1   0:00.02 cupsd
    871 root      20   0    9424   2920   2716 S   0.0   0.0   0:00.00 cron
    868 avahi     20   0   11772   7176   3492 S   6.7   0.0   0:46.10 avahi-d+
    859 root      20   0    2548    772    704 S   0.0   0.0   0:00.14 acpid
    858 root      20   0  238208   7408   6524 S   0.0   0.0   0:00.15 account+
    705 systemd+  20   0   90920   6100   5312 S   0.0   0.0   0:00.13 systemd+
    694 systemd+  20   0   25096  13640   9164 S   0.0   0.1   0:00.62 systemd+
    556 root      20   0       0      0      0 I   0.0   0.0   0:01.90 kworker+
    544 root      20   0       0      0      0 I   0.0   0.0   0:01.77 kworker+
    449 root     -51   0       0      0      0 S   0.0   0.0   0:56.35 irq/159+
    448 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    446 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    445 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    444 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    443 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    425 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    399 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/156+
    335 root      20   0   25276   7840   4036 S   0.0   0.0   0:01.23 systemd+
